,UB,UR,UL,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,LU,LF,LD,LB,DF,DR,DB,DL
BD,U M': U/M',U M U M' * 2,U' M U' M' * 2,"U2: M, U R U'",U M' U' M U2 M U M' U,"U2: M, U' L' U",D L F': L'/S',"U M: U', l' E l","U': R B R', S'","U M: U', L E' L'","U': R B R', S","U2: M, U' L U",,"U2: M, U R' U'",D' R' F: R/S,"U' M: U, R' E R","U: L' B' L, S","U' M: U, R E' R'","D: S, L' F' L","D' R' F': R2, E",,"D L F: L2, E'"
BR,"R U': S, R2","E: U', R E' R'","U, L E2' L'",U: R'/S,"U' R' U, M'",R U': R'/E,R u': R/E',,S U: L/E,"E, R' U' R","U' R' U, M",R U': R/E',"U': R', U' M U",,"M': U', L' E L","R': R' E R, U'","L E: L' U L, E","E', R' U' R",U R': U'/M',R' U R U R U R' U' R' U',"U' R' U, M2",U: L/E
LU,U' M: U'/M',"S', L F' L'",,S' U: L/E',"L F: L' U L, E'","r U: U, r' E r",M: U'/M',r': U/M',R' F: R'/S,RM: U'/M',"M', L' U' L U",U' l: U'/M',D' R' F: R'/S,S' U: L'/E,,"S: R' E R, U'",l' U: L/S',"S: R E' R', U'","L' F': E', L2","L: L S L', F'","D: S, L F' L'","S, L F' L'"
LF,U'/R' E R,"U', R' E R","U': R' E R, U'","R U' R', E","M': U' L' U, M'",,L' M: U'/M',r U: R/E,M' U: R/E,UE: R/S,"M', U' L' U","L U L', E'","U' r': E, R U R'","R': U', R' E R","S: U', R' E R",,"U S' U', L",r U: L'/S',"U R' F': R S R', F'",U'E': R'/E',M'/U' L' U,UE: L'/E'
LD,U/L E L',"U: L E L', U","U, L E L'","U: S, L F2 L'","U: S, L F L'",S' U': R'/E,L F': L'/S',"L F': L2, E",L F': L/S,M' U': L/E',"U'D: S, R' F' R",S' U': R/E',"U: S, L' B' L","L E2': L' U L, E'",l' U: L/S',"U S' U', L",,"L', U S' U'","L F: L2, E'","S, L' F' L","U: L B' L', S'",
LB,U'/R E' R',"U', R E' R'","U': R E' R', U'","R: U', R E' R'","U' M': R E' R', U'","L' U L, E",l: U'/M',u: R'/S,"R' F: E', R2","R2 F: E', R2","M', U' L U",,"U' M: R E' R', U","R' U' R, E'","S: U', R E' R'",r U: L/S',"U S' U', L'",,"F: L2, E'",u': R/E,M'/U' L U,u: L/E
DF,"U2, M'","M U2 M, U","M U2 M, U'",D'U L/E',,U'D: R'/E,"D: R' F R, S","F': E, R2","R' F': E, R2","R2 F': E, R2","U: S, R' F' R",DU': R/E',"D: L' F L, S",U R': U/M',"L' F': L2, E'","U R' F2: R S R', F","L F: E', L2","F: E', L2",,"R' F': R S' R', F2",M' U2 M' U2 M2,L: F/L' S L
DR,"U': S, R2",R' U: R'/S,U R U R' U' R' U' R' U R,U R' U' R' U R U R U R' U2,U R' F': R'/S,U':  R'/E,"R' F R, S'",u': R/E',,U'E': R'/E,"UD': R' F' R, S",U': R/E',"D' R' F': E, R2",U R U R U' R' U' R' U' R,"L: F', L S L'",U'E': R/E',"L' F' L, S",u': R'/E,R': F/R S' R',,U' R D: R/S',"U': R2, S'"
DB,"M, U2","M2', R U' R' U",D'U R U R' U' R' U' R' U R D,DU: L/E',"D': L' F' L, S",U'D': R'/E,"D': R' F R, S'",M/U R' U',"U': S, R' B R",M/U R U',"U: S, R B R'",U'D': R/E',,"U' R' U, M2","D: S, L F' L'",M/U' L' U,"U: S', L B' L'",M/U' L U,u2 M' * 2,U' R D: R'/S',,U' R' D' R D R D R D' R' UD'
DL,"U: S', L2",l F: L'/S',L U': L/S',U: L/E',U' L F: L/S',U' L U L U' L' U' L' U' L U2,"R': F, R' S' R",u: L/E',"R F R', S'",UE: L'/E,"U D: S, R' F' R",U' L' U' L' U L U L U L',"D L F: E', L2",U: L'/E,"L F' L', S",UE: L/E',,u: L'/E,L: F'/L' S L,"U: L2, S",U'D R D R' D' R' D' R' D R U,
